RC109

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
   1      28         51         40        94           124        10   
   2      9          27         10        77           107        10   
   3      63         14         40        48           78         10   
   4      52         64         30        36           66         10   
   5      34         46         40        87           117        10   
   6      67         79         30        120          150        10   
   7      27         26         40        150          180        10   
   8      2          9          10        78           108        10   
   9      6          43         40        46           76         10   
   10     51         1          20        122          152        10   
   11     9          52         20        165          195        10   
