RC110

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
   1      32         8          10        46           76         10   
   2      6          32         40        128          158        10   
   3      32         67         10        117          147        10   
   4      77         46         20        134          164        10   
   5      3          84         20        79           109        10   
   6      33         23         10        123          153        10   
   7      57         5          40        148          178        10   
   8      23         46         40        128          158        10   
   9      79         33         40        140          170        10   
   10     67         85         40        139          169        10   
   11     57         24         30        166          196        10   
