RC101

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
   1      6          34         10        153          183        10   
   2      52         34         10        130          160        10   
   3      4          48         30        158          188        10   
   4      43         6          20        77           107        10   
   5      17         43         30        144          174        10   
   6      31         20         10        40           70         10   
   7      55         11         40        139          169        10   
   8      8          0          30        98           128        10   
   9      57         13         10        83           113        10   
   10     11         85         20        111          141        10   
   11     16         2          30        114          144        10   
