RC106

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
   1      62         86         20        60           90         10   
   2      34         31         20        104          134        10   
   3      43         85         20        51           81         10   
   4      24         68         30        86           116        10   
   5      62         23         30        155          185        10   
   6      55         40         20        180          210        10   
   7      55         63         30        32           62         10   
   8      56         27         30        50           80         10   
   9      72         71         20        66           96         10   
   10     6          57         40        40           70         10   
   11     39         61         10        105          135        10   
