RC107

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
   1      63         30         30        81           111        10   
   2      38         46         20        32           62         10   
   3      49         14         20        95           125        10   
   4      7          5          40        129          159        10   
   5      76         31         40        54           84         10   
   6      65         40         40        122          152        10   
   7      2          51         40        81           111        10   
   8      46         84         10        116          146        10   
   9      63         27         20        47           77         10   
   10     33         38         20        72           102        10   
   11     7          3          30        96           126        10   
