RC102

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
   1      57         59         40        52           82         10   
   2      49         82         10        91           121        10   
   3      79         66         10        99           129        10   
   4      41         62         10        46           76         10   
   5      10         61         40        125          155        10   
   6      5          33         20        78           108        10   
   7      16         24         20        40           70         10   
   8      49         66         40        98           128        10   
   9      43         9          10        141          171        10   
   10     46         88         30        76           106        10   
   11     53         25         30        70           100        10   
