RC105

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
   1      50         6          40        92           122        10   
   2      71         52         20        57           87         10   
   3      10         29         10        46           76         10   
   4      67         58         10        152          182        10   
   5      43         43         40        87           117        10   
   6      12         75         10        53           83         10   
   7      24         64         40        48           78         10   
   8      52         54         10        144          174        10   
   9      8          21         40        141          171        10   
   10     1          18         40        50           80         10   
   11     61         85         10        124          154        10   
