RC103

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
   1      61         90         10        56           86         10   
   2      62         17         40        65           95         10   
   3      68         39         30        142          172        10   
   4      74         66         20        92           122        10   
   5      77         42         30        66           96         10   
   6      45         38         30        73           103        10   
   7      46         82         20        81           111        10   
   8      34         70         20        49           79         10   
   9      48         58         20        99           129        10   
   10     45         65         20        170          200        10   
   11     53         10         40        54           84         10   
