RC104

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
   1      46         32         10        42           72         10   
   2      53         22         40        97           127        10   
   3      51         87         40        157          187        10   
   4      64         33         20        143          173        10   
   5      15         59         30        85           115        10   
   6      48         79         10        95           125        10   
   7      44         27         10        144          174        10   
   8      55         72         30        59           89         10   
   9      61         2          40        115          145        10   
   10     20         68         10        49           79         10   
   11     34         67         20        56           86         10   
